title,price,hours,year,state,category,source_url,seller_type,description,city,shipping_available,has_inspection_report,has_service_history,verified_seller
2019 CAT 336 Hydraulic Excavator,184500,3240,2019,TX,Excavator,https://www.machinerytrader.com/listings/101,dealer,Clean CAT 336 with full service history. EROPS cab AC heat.,Dallas,false,true,true,true
2017 John Deere 644K Wheel Loader,162000,4100,2017,CA,Loader,https://www.machinerytrader.com/listings/102,dealer,JD 644K loader good rubber recent transmission service.,Fresno,true,false,true,true
2015 Komatsu D65PX Dozer,143000,5800,2015,AZ,Dozer,https://www.machinerytrader.com/listings/103,auction,Komatsu D65 straight blade PAT undercarriage 60 percent.,Phoenix,false,false,false,false
2018 CAT 420F2 Backhoe Loader,78500,2950,2018,IA,Backhoe,https://www.machinerytrader.com/listings/104,dealer,CAT 420F2 4WD extend-a-hoe. Clean machine ready to work.,Des Moines,true,true,true,true
2016 Manitou MT 1440 Telehandler,68000,3600,2016,TX,Telehandler,https://www.machinerytrader.com/listings/105,dealer,Manitou 14m telehandler good tires recent service.,Houston,false,false,true,false
2020 Volvo EC220E Excavator,221000,1850,2020,FL,Excavator,https://www.machinerytrader.com/listings/106,dealer,Low hour Volvo EC220E. Excellent condition. Full warranty remaining.,Tampa,false,true,true,true
2014 CAT 950M Wheel Loader,118000,6200,2014,OR,Loader,https://www.machinerytrader.com/listings/107,auction,CAT 950M. High hours but well maintained. New tires.,Portland,false,false,true,false
2021 Bobcat E85 Excavator,94000,1100,2021,CO,Excavator,https://www.machinerytrader.com/listings/108,dealer,Near new Bobcat E85. Low hours. Dealer maintained.,Denver,true,true,true,true
2013 Komatsu PC200LC-8 Excavator,72000,7800,2013,GA,Excavator,https://www.machinerytrader.com/listings/109,auction,Older Komatsu PC200 high hours. Runs well priced to sell.,Atlanta,false,false,false,false
2018 JLG 1350SJP Boom Lift,89000,2400,2018,WA,Lift,https://www.machinerytrader.com/listings/110,dealer,JLG 1350SJP diesel boom lift. Good condition recent inspection.,Seattle,true,true,false,true
2016 CAT 320EL Excavator,138000,4800,2016,TX,Excavator,https://www.machinerytrader.com/listings/111,dealer,CAT 320EL with clean undercarriage. AC works. Ready to dig.,San Antonio,false,true,true,true
2018 Komatsu WA380-8 Wheel Loader,174000,3100,2018,CA,Loader,https://www.machinerytrader.com/listings/112,dealer,Komatsu WA380 low hours clean machine. Full dealer service records.,Sacramento,true,true,true,true
2015 John Deere 850K Dozer,189000,4200,2015,TX,Dozer,https://www.machinerytrader.com/listings/113,dealer,JD 850K LGP dozer. PAT blade. Undercarriage 70 percent. Clean.,Amarillo,false,true,true,true
